epoch,accuracy,loss
0,0.79817706,0.42586660037826124
1,0.79036456,0.42495251873818535
2,0.7942708,0.4227321726890902
3,0.796875,0.4233812928626624
4,0.80078125,0.4208879190652321
5,0.80598956,0.4306161943046997
6,0.796875,0.42291364446282387
7,0.796875,0.4296395362277205
8,0.79296875,0.4288214225283203
9,0.78515625,0.4205567423487082
10,0.79557294,0.4186359552744155
11,0.79817706,0.4276192693117385
12,0.79296875,0.41588288681426394
13,0.80078125,0.42147236755893874
14,0.7942708,0.43033443111926317
15,0.8072917,0.4162826413133492
16,0.8072917,0.4212156287782515
17,0.7994792,0.42117334199914086
18,0.8020833,0.41794180559615296
19,0.7994792,0.42213315322684747
20,0.7994792,0.4243655412768324
21,0.7890625,0.42254060072203475
22,0.7994792,0.4205621976482992
23,0.80859375,0.41595096921082586
24,0.79557294,0.41558410064317286
25,0.79036456,0.42074177189109224
26,0.80078125,0.43097733640267205
27,0.79036456,0.4194763949102101
28,0.8125,0.4201848454152544
29,0.79817706,0.42325074955200154
30,0.80338544,0.42596763418987393
31,0.80859375,0.41921429444725317
32,0.80598956,0.41844591319871444
33,0.8046875,0.4239049422903918
34,0.8098958,0.41976933693513274
35,0.8046875,0.4161844616367792
36,0.80859375,0.41716721227082115
37,0.79817706,0.42599306608705473
38,0.8046875,0.4156736748215432
39,0.8072917,0.4238855240206855
40,0.79296875,0.4261388838252363
41,0.79557294,0.4243563022658539
42,0.7890625,0.43254490916539606
43,0.79817706,0.42737464408855885
44,0.796875,0.4247262114658952
45,0.8125,0.4279801086522639
46,0.7994792,0.4226235308451578
47,0.79817706,0.4187118011759594
48,0.81119794,0.41806323781687144
49,0.80078125,0.42247145863560337
50,0.7942708,0.42755808343645185
51,0.8020833,0.4208387630836417
52,0.7994792,0.4215393808941978
53,0.8098958,0.41621411696542054
54,0.80859375,0.41413409837211174
55,0.7994792,0.4186682206345722
56,0.7994792,0.4224575275632863
57,0.7994792,0.41855705971829593
58,0.80338544,0.4176183396872754
59,0.8125,0.4126653520700832
60,0.79296875,0.4325876925916721
61,0.79036456,0.42203671818909544
62,0.79296875,0.4227874948992394
63,0.80078125,0.4223815324367024
64,0.8020833,0.42649384688896436
65,0.79296875,0.4288617007356758
66,0.80078125,0.41335118738546345
67,0.81380206,0.4125151090944807
68,0.8020833,0.416189108742401
69,0.8046875,0.41380561942545074
70,0.79557294,0.42252617608755827
71,0.8046875,0.42051276894441497
72,0.8177083,0.41412087995558977
73,0.80338544,0.4223947611171752
74,0.8046875,0.4226473270294567
75,0.8046875,0.42370277563653264
76,0.79296875,0.43058966924824443
77,0.80338544,0.42124038831874105
78,0.8098958,0.41429401631467044
79,0.8046875,0.41679202460606274
80,0.7916667,0.4302011681138538
81,0.8098958,0.41526147214851034
82,0.80078125,0.4181513478591417
83,0.796875,0.42033753208428
84,0.80338544,0.417939038714394
85,0.81119794,0.41216788239156205
86,0.81119794,0.41521430399734527
87,0.80598956,0.41934268448191386
88,0.80338544,0.41529497005588684
89,0.8046875,0.4252325432219853
90,0.80338544,0.4212421456662317
91,0.8020833,0.41259422310395166
92,0.8098958,0.41384030678697553
93,0.81119794,0.4204816942413648
94,0.81119794,0.4180475716323902
95,0.8072917,0.4179705711818921
96,0.80078125,0.42138144944328815
97,0.8125,0.4145153936309119
98,0.80859375,0.42486639879643917
99,0.8072917,0.41326228618466604
100,0.8020833,0.4262448548494528
101,0.8125,0.41532143187941983
102,0.7994792,0.4170851508776347
103,0.8020833,0.41647037138075876
104,0.8177083,0.4100959119775022
105,0.80598956,0.41986574680777267
106,0.80859375,0.4152286145060013
107,0.8072917,0.41606146782093373
108,0.8072917,0.41460941285671044
109,0.8098958,0.4192205311264843
110,0.81380206,0.4106755170893545
111,0.8046875,0.41970764348904294
112,0.80598956,0.41747713738974807
113,0.80598956,0.41497030763033155
114,0.8098958,0.4200666423421353
115,0.8020833,0.42235765016327304
116,0.796875,0.43362697448659066
117,0.8072917,0.41521925129927695
118,0.80078125,0.4250775451849525
119,0.79817706,0.4254032920192306
120,0.8020833,0.4212026803288609
121,0.80859375,0.41563813454316306
122,0.796875,0.43069931358331814
123,0.8072917,0.4198201846253748
124,0.8125,0.423029597577018
125,0.80338544,0.42097311270966503
126,0.80859375,0.4173699563834816
127,0.80598956,0.41872177870633703
128,0.8020833,0.41260008653625846
129,0.80338544,0.41973595292074606
130,0.8151042,0.40720223751850426
131,0.80338544,0.42068097232064855
132,0.7994792,0.4127000259856383
133,0.80598956,0.41609972160464775
134,0.8098958,0.4096289788139984
135,0.8020833,0.4230107504214781
136,0.81119794,0.41786823510968435
137,0.81119794,0.4163536715398853
138,0.81640625,0.4062190294692603
139,0.79557294,0.4140421543658401
140,0.79817706,0.4267616812721826
141,0.80859375,0.41394173924345523
142,0.80859375,0.40939247293863446
143,0.8177083,0.41086430855405826
144,0.79557294,0.4361310771976908
145,0.81119794,0.42203314194921404
146,0.80859375,0.4182114506644818
147,0.80338544,0.41992825778046
148,0.8046875,0.4079549032612704
149,0.80598956,0.4244400499155745
