epoch,accuracy,loss,val_accuracy,val_loss
0,0.32100227,1.8887345906577864,0.36478484,1.6727488233880285
1,0.401571,1.6559536165368334,0.44137385,1.5466083699989546
2,0.45317712,1.5224565325734154,0.47137782,1.4168649349954352
3,0.46963313,1.4551718792455832,0.48322147,1.3895650920404825
4,0.47959453,1.4222541211549915,0.4891433,1.3774933048825089
5,0.48292962,1.3999848810647566,0.48124754,1.3596268428252047
6,0.48630857,1.3865263345933325,0.4954599,1.3513759714409714
7,0.4928471,1.3683621869791134,0.5017766,1.3431578931533628
8,0.4923644,1.3581456040758533,0.5025661,1.344504007698282
9,0.49833244,1.3506811237845773,0.50888276,1.3228186832037172
10,0.5007899,1.332893399265705,0.5108567,1.3165071636991355
11,0.50201863,1.3251555055322324,0.5108567,1.3114639587003254
12,0.5032912,1.323924016592606,0.5073036,1.302928978164724
13,0.5073723,1.3133901792470668,0.5136202,1.2850013530353195
14,0.509347,1.3002997990007754,0.5092775,1.2922819062179132
15,0.50996137,1.300090545036091,0.51875246,1.2758631704825918
16,0.5116728,1.2960304147803368,0.51954204,1.272299789412898
17,0.51355976,1.2843101567210953,0.52151597,1.267884540266074
18,0.5135159,1.2870508497464819,0.5254639,1.2699336006007926
19,0.51531506,1.275739635754954,0.52151597,1.2669218014315378
20,0.52022994,1.267991275918762,0.5246743,1.272296801603598
21,0.51821136,1.2685223302025952,0.5282274,1.253168965910811
22,0.51891345,1.261721488695846,0.5309909,1.2740153903976241
23,0.5223802,1.2523736908956016,0.5309909,1.2749648060762877
24,0.5237406,1.2494687606770678,0.5349388,1.2588273351765695
25,0.5233895,1.250980388622274,0.5349388,1.2621927662795587
26,0.52619797,1.2413717811308933,0.54007107,1.2351155475905606
27,0.5279533,1.2362018745992192,0.53888667,1.2655731307815479
28,0.52905035,1.232680964662419,0.5384919,1.2494030503759825
29,0.5282166,1.2278166787967946,0.5357284,1.247768661178622
30,0.53014743,1.224473380385438,0.5448085,1.214174261923322
31,0.52826047,1.2236233656503075,0.54007107,1.2292272567843148
32,0.5312445,1.225939112691392,0.54441375,1.2106598102194586
33,0.5330876,1.216344792988921,0.5448085,1.2181371578904794
34,0.5310251,1.2060895664599436,0.54441375,1.209606835176669
35,0.5304985,1.2143014711058933,0.5428346,1.241527926060601
36,0.5335703,1.2082440974692703,0.5392815,1.2448249094297046
37,0.5373881,1.2096693249821808,0.54994076,1.1995871404955805
38,0.5348429,1.207545441662154,0.55151993,1.236891573472217
39,0.53594,1.1981223950956041,0.5440189,1.2248810428524506
40,0.5368615,1.2035747117403621,0.54717726,1.203400538601143
41,0.5354134,1.1960541308292365,0.55546784,1.2068493429775817
42,0.54054767,1.1856066717564986,0.5527043,1.2063628679389216
43,0.5378708,1.193610243280875,0.54441375,1.2293462537279065
44,0.5394506,1.1869440551847874,0.55546784,1.2194006681159886
45,0.54418993,1.1826347462311113,0.549546,1.221792885968208
46,0.5397578,1.1766717493774725,0.5483616,1.2166035500995924
47,0.5423907,1.182481262418959,0.54796684,1.1739715653071985
48,0.54103035,1.183232905614872,0.55428344,1.1779286447269757
49,0.5437511,1.1776972698374382,0.55349386,1.2004399268560337
